ID,Gerencia,Iniciativa,Macroproyecto_Revisado,SubAgrupacion,Keywords,Aporte_Estrategico,Estado,Beneficios_Estimados,Description
1,Personas,Actualización de precios inmobiliario uf/m2,,Inteligencia de Mercado,"precios, inmobiliario, UF, m2, mercado",Táctico / Bajo Alineamiento,Existente,"Ingreso: $50,000","Integra IA para proporcionar actualizaciones precisas de precios inmobiliarios en UF/m2 en tiempo real, permitiendo una toma de decisiones informada y ágil en la gestión de activos, y optimizando así las inversiones y el bienestar financiero del personal."
2,Personas,Benchmarking de programas para usar en el área,,Benchmarking,"benchmarking, programas, herramientas, tecnología",Táctico / Bajo Alineamiento,Existente,"Ahorro: $30,000","Implementa un sistema de IA para realizar benchmarking de programas y herramientas tecnológicas en el área de Personas, permitiendo la identificación de mejores prácticas y tecnologías líderes que optimicen la gestión del talento, mejoren la productividad y fortalezcan la competitividad organizacional."
3,Personas,Agente de atención terceros (agentes externos y licitados) foco en personas,Plataforma 360° de Inteligencia de Cliente y Crecimiento,Atención al Cliente,"agente, atención, terceros, externos, licitados",Sistémico,Existente,"Ahorro: $120,000","Desarrolla un agente de atención potenciado por IA para gestionar eficazmente la comunicación con agentes externos y licitados, mejorando la satisfacción y retención de estos colaboradores, al tiempo que optimiza los procesos de soporte y resolución de consultas."
4,Personas,Generación de contenido (interno y externo) con mayor eficiencia y efectividad -> (sostenibilidad-reportes-información corporativa),Asistente Corporativo IA para el Talento y Desempeño,Comunicación Corporativa,"contenido, comunicación, eficiencia, sostenibilidad, reportes",Sistémico,Existente,"Ahorro: $80,000","Automatiza la creación de reportes de sostenibilidad y comunicación corporativa, mejorando la eficiencia y consistencia del contenido, lo que permite al equipo de Personas enfocarse en tareas estratégicas y aumentar la transparencia hacia stakeholders internos y externos."
5,Personas,Diversificación de voceros-identidades para comunicados,,Comunicación Corporativa,"voceros, identidades, comunicación, diversificación",Táctico / Bajo Alineamiento,Existente,"Ahorro: $25,000","Implementar IA para diversificar automáticamente los voceros e identidades en los comunicados internos, promoviendo la inclusión y representatividad, lo que fortalecerá la cultura organizacional y mejorará la moral del equipo."
6,Personas,Respuestas a elementos técnicos-sostenibilidad a preguntas,Plataforma 360° de Inteligencia de Cliente y Crecimiento,Comunicación Corporativa,"respuestas, técnico, sostenibilidad, comunicación",Sistémico,Existente,"Ahorro: $45,000","Implementa una IA que provea respuestas rápidas y precisas a preguntas técnicas sobre sostenibilidad, mejorando la comunicación interna y el conocimiento del personal, al tiempo que se promueve una cultura de responsabilidad ambiental en toda la empresa."
7,Personas,Consolidación/sistematización/monitoreo Huella de carbono,,Sostenibilidad,"huella de carbono, consolidación, monitoreo, sostenibilidad",Individual,Existente,"Ahorro: $90,000","Implementar un sistema inteligente para consolidar, sistematizar y monitorear la huella de carbono, ayudando a reducir el impacto ambiental y mejorar la sostenibilidad, al tiempo que se fortalece la imagen corporativa y se promueve una cultura de responsabilidad entre los empleados."
8,Personas,monitorear tendencias y temáticas externas,,Inteligencia de Mercado,"tendencias, temáticas, monitoreo, mercado",Táctico / Bajo Alineamiento,Existente,"Ingreso: $40,000","Implementa un sistema de monitoreo de tendencias y temáticas externas que permita anticipar cambios en el mercado laboral, alineando las estrategias de formación y desarrollo del talento para mejorar la competitividad y la adaptabilidad de la fuerza laboral."
9,Personas,Agente apoyo reclutamiento,Asistente Corporativo IA para el Talento y Desempeño,Gestión de Talento,"reclutamiento, apoyo, agente, talento",Sistémico,Existente,"Ahorro: $150,000","Implementa un agente de IA para el apoyo en el reclutamiento, agilizando la selección de candidatos y mejorando la eficiencia del proceso, permitiendo atraer y retener el mejor talento de forma más efectiva y oportuna."
10,Personas,Automatizar procesos equipo de Personas-información (hh+),Centro de Automatización Inteligente (Back-Office Eficiente),Automatización de Procesos RH,"automatización, procesos, personas, información, HH",Sistémico,Existente,"Ahorro: $180,000","Automatiza la gestión de datos y procesos operativos del área de Personas para aumentar la eficiencia administrativa y reducir errores humanos, permitiendo al equipo focalizarse en tareas estratégicas y mejorando la precisión en la administración del recurso humano."
