ID,Gerencia,Iniciativa,Macroproyecto,SubAgrupacion,Keywords
1,Personas,"Actualización de precios inmobiliario uf/m2",Innovación y Nuevos Modelos de Negocio,Inteligencia de Mercado,"precios, inmobiliario, UF, m2, mercado"
2,Personas,Benchmarking de programas para usar en el área,Innovación y Nuevos Modelos de Negocio,Benchmarking,"benchmarking, programas, herramientas, tecnología"
3,Personas,Agente de atención terceros (agentes externos y licitados) foco en personas,Innovación y Nuevos Modelos de Negocio,Atención al Cliente,"agente, atención, terceros, externos, licitados"
4,Personas,"Generación de contenido (interno y externo) con mayor eficiencia y efectividad -> (sostenibilidad-reportes-información corporativa)",Innovación y Nuevos Modelos de Negocio,Comunicación Corporativa,"contenido, comunicación, eficiencia, sostenibilidad, reportes"
5,Personas,Diversificación de voceros-identidades para comunicados,Innovación y Nuevos Modelos de Negocio,Comunicación Corporativa,"voceros, identidades, comunicación, diversificación"
6,Personas,Respuestas a elementos técnicos-sostenibilidad a preguntas,Innovación y Nuevos Modelos de Negocio,Comunicación Corporativa,"respuestas, técnico, sostenibilidad, comunicación"
7,Personas,Consolidación/sistematización/monitoreo Huella de carbono,Inteligencia de Negocio y Soporte a la Decisión Estratégica,Sostenibilidad,"huella de carbono, consolidación, monitoreo, sostenibilidad"
8,Personas,monitorear tendencias y temáticas externas,Inteligencia de Negocio y Soporte a la Decisión Estratégica,Inteligencia de Mercado,"tendencias, temáticas, monitoreo, mercado"
9,Personas,Agente apoyo reclutamiento,Transformación del Talento y la Cultura Organizacional,Gestión de Talento,"reclutamiento, apoyo, agente, talento"
10,Personas,"Automatizar procesos equipo de Personas-información (hh+)",Automatización Inteligente de Procesos (RPA & AI),Automatización de Procesos RH,"automatización, procesos, personas, información, HH"
11,Personas,"Integración de info de colaboradores (gustos-insight-perfiles-predictor)",Transformación del Talento y la Cultura Organizacional,Gestión de Talento,"integración, información, colaboradores, perfiles, predictor"
12,Personas,"Paneles y métricas con Agente IA -> con foco a personas",Inteligencia de Negocio y Soporte a la Decisión Estratégica,Reporting y Paneles,"paneles, métricas, agente IA, personas, reporting"
13,Personas,"Descripciones de cargo (agente para la gestión)->preparación y gobierno",Transformación del Talento y la Cultura Organizacional,Gestión de Talento,"descripciones de cargo, gestión, gobierno, talento"
14,Personas,"Actualización de política de compensaciones-competitiva/mercados/distorsiones/necesidades",Transformación del Talento y la Cultura Organizacional,Políticas y Procesos RH,"política, compensaciones, mercado, competitividad"
15,Operaciones,Rezago de Planta​,Excelencia Operacional y Logística Inteligente,Gestión de Planta,"rezago, planta, optimización, logística"
16,Operaciones,"Ruteo Optimo (primera y ultima)​",Excelencia Operacional y Logística Inteligente,Optimización de Rutas,"ruteo, optimo, primera milla, ultima milla, logística"
17,Operaciones,"Control Asistencia Diario en Planta​",Excelencia Operacional y Logística Inteligente,Gestión de Planta,"control, asistencia, diario, planta, personal"
18,Operaciones,"Proyección de demanda – ruta troncal​",Inteligencia de Negocio y Soporte a la Decisión Estratégica,Análisis Predictivo,"proyección, demanda, ruta troncal, forecasting"
19,Operaciones,"Mantenimiento preventivo​",Excelencia Operacional y Logística Inteligente,Mantenimiento Predictivo,"mantenimiento, preventivo, predictivo, flota"
20,Operaciones,"Control de proceso y desviaciones-​",Excelencia Operacional y Logística Inteligente,Control y Monitoreo,"control de proceso, desviaciones, calidad, operaciones"
21,Operaciones,"Predecir demanda de clientes por tipo carga​",Inteligencia de Negocio y Soporte a la Decisión Estratégica,Análisis Predictivo,"predecir, demanda, clientes, tipo de carga, forecasting"
22,Operaciones,"Errores y controles de pago a proveedor de transporte​",Automatización Inteligente de Procesos (RPA & AI),Operaciones Administrativas,"errores, control, pago, proveedor, transporte, automatización"
23,Operaciones,"Asignación y reasignación de folios​",Excelencia Operacional y Logística Inteligente,Gestión de Planta,"asignación, reasignación, folios, logística"
24,Operaciones,"Alerta por capacidad de vehículos​",Excelencia Operacional y Logística Inteligente,Control y Monitoreo,"alerta, capacidad, vehículos, flota, monitoreo"
25,Operaciones,"Alerta cumplimiento prex​",Excelencia Operacional y Logística Inteligente,Control y Monitoreo,"alerta, cumplimiento, prex, monitoreo, SLA"
26,Operaciones,"Cuadratura q piezas online vs retiro​",Excelencia Operacional y Logística Inteligente,Control y Monitoreo,"cuadratura, piezas, online, retiro, control"
27,Operaciones,"Pruebas de entrega y retiro​",Excelencia Operacional y Logística Inteligente,Control y Monitoreo,"pruebas, entrega, retiro, calidad, POD"
28,Operaciones,"Automatizar Relacionamiento con prospectos de flota​",Automatización Inteligente de Procesos (RPA & AI),Ventas y Prospección,"automatizar, relacionamiento, prospectos, flota, comercial"
29,Operaciones,"Detección hurtos y robos en planta​",Excelencia Operacional y Logística Inteligente,Seguridad,"detección, hurtos, robos, planta, seguridad"
30,Operaciones,"Visualización avance troncales​",Excelencia Operacional y Logística Inteligente,Control y Monitoreo,"visualización, avance, troncales, monitoreo, logística"
31,Operaciones,"Control de piezas que viajan en camión​",Excelencia Operacional y Logística Inteligente,Control y Monitoreo,"control, piezas, camión, inventario, logística"
